Label	Nume Ro	Descriere
ORIENTAL	Orientale	O clasă de arome condimentate, predominante în zonele din Orientul Mijlociu, în care găsim scorţişoara, cardamom, santal, dar și arome tămâioase cum ar fi mirul si ambra, ce oferă parfumului un miros cald, dulceag.
ALDEHYDE	Aldehide	Aceste note conţin un miros fresh sintetic. Aromele sunt create din compuşi cu miros de lămâie cu acorduri florale.
POWDERY	Pudrate	Note naturale şi sintetice deopotrivă ce imită mirosul de pudră de talc. Cele mai comune arome pudrate se găsesc în parfumuri florale pe bază de violete, iris sau vanilie. 
MUSK	Mosc	Clasă fundamentală în parfumerie, fiind găsită în majoritatea parfumurilor actuale. Moscul este o substanţă extrasă din glandele cerbilor, a balenelor, sau a unor rozătoare, din această cauză aroma este imitată de compuşi sintetici. Funcţionează ca un afrodisiac excelent.
AQUATIC	Acvatic	Note sintetice cu miros marin ce denotă o atmosferă curată, spaţioasă, plină de aer proaspăt. Aceste mirosuri sărate sau citrice sunt întâlnite în combinaţie cu mirosuri florale.
HERBACIOUS	Erbacee	Notele erbacee au mirosuri tari, provenite din esenţele naturale ale bulbilor florali. Ele compun această clasă de note ce este adesea regăsită in parfumurile fresh-lemnoase cu caracter dinamic. 
GOURMANDY	Gurmand	O clasă de note apărută recent in parfumerie, primul parfum gurmad fiind Angel (Thierry Mugler) din 1992. Aromele din această clasă duc gândul spre prăjituri proaspăt coapte, ciocolată aburindă sau îngheţată bogată.
ALCOHOLIC_DISTILLED	Alcoolic-distilat	Clasă de arome naturale obținute prin distilarea cerealelor, ce emană un miros de lemn si pielărie, cum ar fi; whiskey-ul, ce se îmbină armonios cu aromele bărbăteşti, sau vodka, ce completează aromele fructate din parfumurile de damă.
CITRIC	Citric	Folosită încă de pe vremea Greciei Antice, această clasă de note curpinde arome de bază cum ar fi verbena si lemongras, dar și arome extrase noi, cum ar fi pomelo, grapefruit sau mandarina. 
EARTHY	Pământii	Folosită în parfumurile lemnoase, această clasă de note sintetice, de cele mai multe ori folosite sub formă de tinctură, imită mirosul de pământ.
